Port ID;name
AEJEA;['Muscat', 'Abu Dhabi', 'Riyadh', 'Dubai', 'Doha', 'Manama', 'Kuwait City']
AEKLF;['Muscat', 'Abu Dhabi', 'Riyadh', 'Dubai', 'Doha', 'Manama', 'Kuwait City']
ALDRZ;['Valletta', 'Athens', 'Istanbul', 'Tirana', 'Rome', 'Vatican City', 'Skopje', 'Podgorica', 'Pristina', 'Sofia', 'Sarajevo', 'Bucharest', 'Belgrade', 'Zagreb', 'Ljubljana', 'Budapest', 'Bratislava', 'Vienna', 'San Marino']
AOLAD;['Libreville', 'Luanda', 'Kinshasa', 'Brazzaville']
ARBUE;['Montevideo', 'Buenos Aires', 'Asunción']
AUFRE;[nan]
AUMEL;['Melbourne', 'Canberra', 'Sydney']
AUSYD;['Melbourne', 'Canberra', 'Sydney']
BGBOJ;['Nicosia', 'Athens', 'Istanbul', 'Tirana', 'Skopje', 'Podgorica', 'Pristina', 'Sofia', 'Sarajevo', 'Ankara', 'Bucharest', 'Belgrade', 'Chi?in?u', 'Budapest', 'Kyiv']
BGVAR;['Nicosia', 'Athens', 'Istanbul', 'Tirana', 'Skopje', 'Podgorica', 'Pristina', 'Sofia', 'Sarajevo', 'Ankara', 'Bucharest', 'Belgrade', 'Chi?in?u', 'Budapest', 'Kyiv']
BJCOO;['São Tomé', 'Libreville', 'Malabo', 'Yaoundé', 'Abidjan', 'Accra', 'Lomé', 'Cotonou', 'Lagos', 'Porto-Novo', 'Yamoussoukro', 'Abuja', 'Ouagadougou', 'Niamey']
BRPNG;['Asunción', 'São Paulo', 'Rio de Janeiro', 'Brasília']
BRSSZ;['São Paulo', 'Rio de Janeiro', 'Brasília']
CATOR;['Washington,  D.C.', 'New York', 'Chicago', 'Toronto', 'Ottawa']
CAVAN;['Vancouver']
CGPNR;['São Tomé', 'Libreville', 'Malabo', 'Yaoundé', 'Luanda', 'Kinshasa', 'Brazzaville']
CLSAI;['Santiago', 'Valparaíso']
CNDAL;['Shanghai', 'Seoul', 'Pyongyang', 'Beijing']
COBUN;['Quito', 'Bogota', 'Panama City', 'San José']
CYLMS;['Cairo', 'Jerusalem', 'Amman', 'Tel Aviv', 'Damascus', 'Beirut', 'Nicosia', 'Athens', 'Istanbul', 'Ankara']
DJJIB;['Mogadishu', 'Addis Ababa', 'Hargeisa', 'Djibouti', 'Asmara', 'Sanaa']
DKCPH;['Ljubljana', 'Bratislava', 'Vienna', 'Prague', 'Vaduz', 'Warsaw', 'Berlin', 'København', 'Stockholm', 'Luxembourg', 'Brussels', 'The Hague', 'Amsterdam', 'Oslo']
DZALG;['Algiers', 'Tunis', 'Madrid', 'Andorra', 'Monaco', 'Geneva']
DZBJA;['Tripoli', 'Valletta', 'Rome', 'Vatican City', 'Algiers', 'Tunis', 'Madrid', 'Andorra', 'Monaco', 'Geneva']
DZORN;['Casablanca', 'Rabat', 'Algiers', 'Lisbon', 'Madrid', 'Andorra']
DZSKI;['Tripoli', 'Valletta', 'Rome', 'Vatican City', 'Algiers', 'Tunis', 'Andorra', 'Monaco', 'San Marino', 'Geneva']
EGALY;['Cairo', 'Jerusalem', 'Amman', 'Tel Aviv', 'Damascus', 'Beirut', 'Nicosia', 'Athens', 'Istanbul', 'Ankara']
EGDAM;['Cairo', 'Jerusalem', 'Amman', 'Tel Aviv', 'Damascus', 'Beirut', 'Nicosia', 'Istanbul', 'Ankara']
ESALG;['Casablanca', 'Rabat', 'Algiers', 'Lisbon', 'Madrid', 'Andorra']
ESBCN;['Algiers', 'Tunis', 'Madrid', 'Andorra', 'Monaco', 'Geneva', 'Bern', 'Vaduz', 'Paris', 'Luxembourg', 'Brussels']
ESBIO;['Algiers', 'Lisbon', 'Madrid', 'Andorra', 'Geneva', 'Paris', 'London']
ESCAR;['Casablanca', 'Rabat', 'Algiers', 'Lisbon', 'Madrid', 'Andorra']
ESVLC;['Casablanca', 'Rabat', 'Algiers', 'Lisbon', 'Madrid', 'Andorra', 'Monaco', 'Geneva', 'Paris']
FJSUV;['Suva', 'Funafuti']
FRMRS;['Rome', 'Vatican City', 'Ljubljana', 'Algiers', 'Tunis', 'Madrid', 'Andorra', 'Monaco', 'San Marino', 'Geneva', 'Bern', 'Vaduz', 'Paris', 'Luxembourg', 'Brussels', 'London', 'The Hague', 'Amsterdam']
GHTEM;['São Tomé', 'Malabo', 'Abidjan', 'Accra', 'Lomé', 'Cotonou', 'Lagos', 'Porto-Novo', 'Yamoussoukro', 'Abuja', 'Ouagadougou', 'Niamey']
GNCKY;['Monrovia', 'Yamoussoukro', 'Freetown', 'Conakry', 'Bissau', 'Bamako', 'Banjul', 'Dakar', 'Nouakchott']
GRPIR;['Valletta', 'Athens', 'Istanbul', 'Tirana', 'Skopje', 'Podgorica', 'Pristina', 'Sofia', 'Sarajevo', 'Ankara', 'Bucharest', 'Belgrade']
GRSKG;['Valletta', 'Athens', 'Istanbul', 'Tirana', 'Skopje', 'Podgorica', 'Pristina', 'Sofia', 'Sarajevo', 'Ankara', 'Bucharest', 'Belgrade', 'Zagreb', 'Chi?in?u', 'Budapest', 'Bratislava']
HKHKG;['Baguio', 'Hanoi', 'Hong Kong', 'Taipei']
IDSUB;['Jakarta']
